name,description,n_clusters_param,threshold,branching_factor,estimated_clusters,ARI,AMI,Silhouette,training_time
Базова,Baseline модель,3.0,0.5,50,3,0.6614133258247837,0.7296221982315018,0.453550130598908,0.004639625549316406
Threshold_0.1,Threshold=0.1,3.0,0.1,50,3,0.6834667916461372,0.721191193907689,0.45204023087090944,0.009574174880981445
Threshold_0.3,Threshold=0.3,3.0,0.3,50,3,0.6536925558315911,0.7456847856344726,0.4596080365672617,0.0042171478271484375
Threshold_0.7,Threshold=0.7,3.0,0.7,50,3,0.5484013313071158,0.6738813023958176,0.44324198047474167,0.0029985904693603516
Threshold_1.0,Threshold=1.0,3.0,1.0,50,3,0.5658856060268795,0.7003531848694736,0.44101897121347405,0.003036975860595703
Threshold_1.5,Threshold=1.5,3.0,1.5,50,2,0.5681159420289855,0.7315847607219571,0.5817500491982808,0.003008127212524414
BF_20,Branching Factor=20,3.0,0.5,20,3,0.6614133258247837,0.7296221982315018,0.453550130598908,0.004490375518798828
BF_30,Branching Factor=30,3.0,0.5,30,3,0.6614133258247837,0.7296221982315018,0.453550130598908,0.0047359466552734375
BF_70,Branching Factor=70,3.0,0.5,70,3,0.6614133258247837,0.7296221982315018,0.453550130598908,0.0030324459075927734
BF_100,Branching Factor=100,3.0,0.5,100,3,0.6614133258247837,0.7296221982315018,0.453550130598908,0.0036585330963134766
Clusters_2,N_clusters=2,2.0,0.5,50,2,0.5437515388376617,0.6900269017222048,0.5770346019475988,0.003293275833129883
Clusters_4,N_clusters=4,4.0,0.5,50,4,0.6313953184901918,0.6864574161808498,0.40482568961055715,0.0037152767181396484
Clusters_5,N_clusters=5,5.0,0.5,50,5,0.5893775049281266,0.6572638002009712,0.34784620394690674,0.0032219886779785156
Clusters_6,N_clusters=6,6.0,0.5,50,6,0.5701173356168026,0.6369942294270416,0.33786392592216097,0.0033996105194091797
No_Agg,Без AgglomerativeClustering,,0.5,50,28,0.19530628687267718,0.4569371340068567,0.23367724339726076,0.002870321273803711
Combo_1,"n_clust=3, thr=0.3, bf=30",3.0,0.3,30,3,0.6719041797903137,0.7343253696717303,0.4562071763130728,0.006014585494995117
Combo_2,"n_clust=4, thr=0.7, bf=70",4.0,0.7,70,4,0.5385579066299314,0.6535774259134247,0.3834775368742073,0.0029430389404296875
Combo_3,"n_clust=2, thr=1.0, bf=50",2.0,1.0,50,2,0.5681159420289855,0.7315847607219571,0.5817500491982808,0.0028998851776123047
Combo_4,"n_clust=5, thr=0.3, bf=100",5.0,0.3,100,5,0.44988755688559134,0.6161626719072371,0.3570308794163713,0.0036280155181884766
